joint_angle_rad,motor_angle_rad,transmission_ratio,torque_limit_nm
1.148819,1.117372,0.791869,174.2111
1.150390,1.118617,0.791420,174.1124
1.151962,1.119860,0.790971,174.0136
1.153534,1.121103,0.790522,173.9147
1.155105,1.122345,0.790072,173.8158
1.156677,1.123586,0.789622,173.7168
1.158248,1.124827,0.789171,173.6177
1.159820,1.126066,0.788721,173.5186
1.161391,1.127306,0.788270,173.4193
1.162963,1.128544,0.787818,173.3200
1.164535,1.129782,0.787367,173.2207
1.166106,1.131019,0.786915,173.1212
1.167678,1.132255,0.786462,173.0217
1.169249,1.133491,0.786010,172.9221
1.170821,1.134726,0.785557,172.8224
1.172392,1.135960,0.785103,172.7227
1.173964,1.137193,0.784649,172.6229
1.175536,1.138426,0.784195,172.5230
1.177107,1.139658,0.783741,172.4230
1.178679,1.140890,0.783286,172.3229
1.180250,1.142120,0.782831,172.2228
1.181822,1.143350,0.782375,172.1226
